#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
3.189466e-04	3.953901e-04	3.981213e-04	1.588714e+00	1.547290e+00	3.684299e-03	4.632206e-03	6.145509e-03	-2.399299e-01	-7.464370e-01	-2.291112e-01	5.768653e-01
3.964827e-04	2.167839e-04	3.998096e-04	1.641774e+00	1.411140e+00	3.779973e-03	4.151331e-03	7.422994e-03	-2.292119e-01	6.312774e-01	6.727152e-01	3.104917e-01
2.724399e-04	3.356133e-04	3.858985e-04	7.773041e-01	7.393371e-01	4.311924e-03	4.391095e-03	6.042439e-03	4.171821e-01	1.248830e-01	-8.251104e-01	-3.599390e-01
3.661249e-04	2.039961e-04	4.259118e-04	6.944934e-01	1.400933e+00	3.886876e-03	3.212780e-03	6.681978e-03	-1.971916e-01	-3.912973e-01	2.428676e-01	8.654578e-01
4.498316e-04	2.281298e-04	3.950199e-04	1.257890e+00	1.374811e+00	3.426091e-03	5.345312e-03	3.813399e-03	8.519285e-01	-1.303673e-01	4.500785e-01	-2.337768e-01
3.938093e-04	3.092009e-04	3.239262e-04	9.102093e-01	1.088493e+00	5.954824e-03	2.226940e-03	2.867211e-03	4.483900e-01	-5.730871e-01	6.858844e-01	8.954340e-03
3.108264e-04	3.270334e-04	3.951241e-04	1.424534e+00	1.140951e+00	3.414880e-03	3.130858e-03	5.557063e-03	-4.451639e-01	8.309639e-01	1.215808e-01	-3.107189e-01
4.318795e-04	2.591461e-04	4.076086e-04	9.204339e-01	1.151177e+00	2.179208e-03	6.572565e-03	5.244021e-03	3.040885e-01	-6.068227e-01	-4.463150e-01	5.831803e-01
2.040698e-04	4.180888e-04	3.576764e-04	1.675661e+00	9.869954e-01	4.508549e-03	3.410908e-03	5.666662e-03	-5.224555e-01	1.814982e-01	-6.118402e-01	-5.654646e-01
2.490351e-04	2.291150e-04	2.859369e-04	1.420823e+00	1.005590e+00	3.164246e-03	3.933492e-03	6.839393e-03	-3.539047e-01	-6.942094e-01	1.949107e-01	5.956800e-01
